seed,result,time (seconds)
833,solved,0.001
834,unsolvable,0.155
835,solved,0.048
836,solved,0.246
837,unsolvable,0.378
838,solved,0.004
839,unsolvable,3.383
840,solved,0
841,solved,0.004
842,solved,5.944
843,solved,0
844,solved,0.026
845,unsolvable,54.092
846,solved,0.003
847,solved,0.015
848,solved,0.003
849,unsolvable,0.866
850,solved,0.001
851,solved,0.001
852,solved,0.001
853,solved,0.37
854,unsolvable,23.257
855,solved,0
856,solved,0
857,solved,0
858,unsolvable,0.43
859,unsolvable,77.555
860,solved,0
861,solved,0.019
862,unsolvable,0.153
863,solved,0
864,solved,0
865,solved,0
866,unsolvable,0.006
867,solved,0.001
868,unsolvable,2.624
869,solved,0
870,solved,0.006
871,solved,0
872,solved,0.013
873,solved,0.165
874,solved,0.02
875,solved,0.001
876,solved,0.002
877,solved,2.296
878,solved,0.005
879,unsolvable,0.016
880,solved,0
881,solved,0.018
882,solved,0.001
883,unsolvable,0.522
884,unsolvable,7.005
885,solved,0.093
886,solved,0
887,solved,0.015
888,solved,0.004
889,unsolvable,32.8
890,solved,2.937
891,unsolvable,2.61
892,solved,0.002
893,unsolvable,9.89
894,solved,0.019
895,unsolvable,17.753
896,solved,0.018
897,solved,0.008
898,unsolvable,136.173
899,solved,0.557
900,solved,0
901,solved,0
902,solved,0.011
903,solved,0
904,solved,0.001
905,solved,0.01
906,solved,0.165
907,solved,0.001
908,solved,0.001
909,solved,1.441
910,solved,0
911,solved,0
912,solved,0.01
913,solved,0.013
914,solved,0.629
915,solved,0
916,solved,0
917,solved,0
918,solved,0
919,solved,3.685
920,unsolvable,0.368
921,solved,0
922,unsolvable,17.643
923,solved,0.004
924,solved,0.393
925,unsolvable,3.419
926,solved,0
927,unsolvable,0.194
928,unsolvable,0
929,solved,0.151
930,solved,0.064
931,solved,0.002
932,solved,0
933,solved,0.004
934,solved,0
935,solved,0.002
936,solved,0.28
937,solved,0.349
938,solved,0.003
939,solved,14.031
940,solved,0.005
941,unsolvable,0.305
942,solved,0.012
943,solved,0.002
944,solved,0.017
945,solved,0.001
946,solved,0
947,solved,0.007
948,solved,0.002
949,solved,0.001
950,solved,3.312
951,solved,21.697
952,unsolvable,0.024
953,solved,0
954,solved,0.129
955,solved,0.001
956,solved,0.01
957,solved,0.001
958,unsolvable,2.079
959,solved,0
960,solved,0.003
961,unsolvable,32.745
962,solved,0
963,solved,0.023
964,solved,0
965,solved,0.003
966,solved,0
967,unsolvable,1.215
968,solved,0.004
969,solved,0
970,solved,0.616
971,solved,0.96
972,solved,0.005
973,solved,0.084
974,solved,0.001
975,solved,0
976,unsolvable,18.038
977,unsolvable,0.27
978,solved,0
979,solved,0.338
980,solved,0
981,unsolvable,0.006
982,unsolvable,17.399
983,solved,1.326
984,solved,4.55
985,solved,0
986,solved,0
987,solved,0.001
