seed,result,time (seconds)
527,unsolvable,0.524
528,unsolvable,5.575
529,solved,0
530,solved,0
531,solved,0.002
532,solved,0.023
533,unsolvable,1.947
534,solved,0
535,solved,0.187
536,unsolvable,9.476
537,solved,0
538,solved,1.174
539,solved,0.008
540,unsolvable,0.247
541,solved,0.001
542,solved,0
543,solved,0.02
544,solved,0
545,solved,70.944
546,solved,0.002
547,solved,0.007
548,solved,0.013
549,solved,0
550,solved,0.682
551,unsolvable,0
552,solved,0.001
553,unsolvable,0.561
554,solved,0.006
555,solved,0
556,solved,0
557,solved,0.029
558,unsolvable,246.777
559,solved,2.62
560,solved,0
561,solved,0.077
562,solved,0.002
563,solved,0
564,solved,0
565,solved,0.002
566,solved,0
567,solved,0.002
568,solved,0
569,unsolvable,0.001
570,solved,0
571,solved,0
572,unsolvable,11.27
573,solved,0
574,solved,0
575,solved,0
576,solved,0
577,solved,0
578,solved,0.009
579,solved,0
580,solved,0
581,solved,0.004
582,solved,0
583,unsolvable,9.774
584,solved,0.003
585,solved,0
586,unsolvable,0
587,unsolvable,0.014
588,solved,2.137
589,solved,0
590,solved,0
591,unsolvable,2.137
592,solved,0.001
593,solved,0.307
594,solved,0
595,solved,0
596,solved,0
597,solved,0
598,unsolvable,738.952
599,solved,0
600,solved,0
601,solved,0
602,unsolvable,3.698
603,solved,0.8
604,solved,0.001
605,solved,0.112
606,solved,0.163
607,solved,0
608,solved,0
609,unsolvable,0.488
610,unknown,3600
611,unsolvable,0
612,unsolvable,1.561
613,solved,0.041
614,solved,0.431
615,unsolvable,0
616,solved,0
617,solved,0.002
618,solved,0
619,unsolvable,190.867
620,solved,0
621,solved,0
622,solved,0.034
623,solved,0.125
624,solved,0
625,unsolvable,0
626,unsolvable,0
627,unknown,3600
628,solved,0
629,solved,0
630,solved,0
631,solved,0.262
632,unsolvable,0.593
633,unsolvable,0.185
634,solved,0.006
635,solved,0
636,solved,2.631
637,solved,0
638,solved,0
639,solved,0.001
640,solved,0.001
641,solved,0
642,solved,0.461
643,solved,0.254
644,solved,0.001
645,solved,0.001
646,solved,0.013
647,solved,0.71
648,solved,0.002
649,solved,2.508
650,solved,0
651,solved,0.002
652,solved,0
653,solved,0.005
654,solved,0
655,solved,0
656,solved,2.788
657,solved,0
658,solved,0.001
659,solved,0.001
660,solved,0.127
661,solved,0
662,solved,0.099
663,solved,0.001
664,solved,0
665,solved,0.005
666,solved,0.24
667,solved,0.003
668,unsolvable,1.305
669,solved,268.95
670,solved,0.01
671,solved,0.001
672,solved,0.002
673,solved,0.001
674,solved,0
675,solved,0
676,solved,4.96
677,unsolvable,0.266
678,solved,0.003
679,unsolvable,220.515
680,solved,0
681,solved,0.005
682,unsolvable,0.187
683,unsolvable,0.03
684,solved,0.022
685,solved,0
686,solved,0.004
687,solved,0
688,solved,0
689,solved,0.01
690,solved,0.015
691,unsolvable,0.69
692,solved,0
693,unsolvable,150.515
694,unsolvable,3.543
695,solved,0.012
696,solved,0.017
697,solved,0.002
698,unsolvable,0.713
699,solved,0.26
700,solved,0
701,unsolvable,231.943
702,solved,0.852
703,solved,0.005
704,solved,0.008
705,solved,0.002
706,solved,1.654
707,solved,0.004
708,solved,0
709,solved,3.386
710,solved,0.001
711,solved,0
712,solved,0.004
713,solved,0.002
714,unsolvable,863.754
715,solved,522.486
716,solved,0.016
717,unsolvable,0.311
718,solved,0.515
719,unknown,3600
720,solved,0
721,solved,0
722,unknown,3600
723,unsolvable,0
724,solved,0.063
725,solved,0.115
726,solved,0
727,solved,0.337
728,solved,0.102
729,unsolvable,0.04
730,solved,0.374
731,solved,0
732,solved,0
733,solved,0
734,solved,0.006
735,solved,0
736,unsolvable,0
737,solved,0.565
738,solved,0.002
739,solved,0.001
740,solved,0
741,solved,0
742,solved,0.024
743,solved,0
744,solved,0
745,solved,1.127
746,solved,0.048
747,solved,0
748,solved,0.001
749,solved,0
750,unsolvable,0.807
751,solved,103.939
752,solved,10.429
753,solved,0.521
754,solved,0.414
755,solved,0.005
756,solved,0.026
757,solved,0
758,solved,0.712
759,solved,0
760,solved,0
761,solved,0
762,solved,22.663
763,solved,0.008
764,solved,0
765,unsolvable,126.249
766,solved,0.006
767,solved,1.643
768,solved,0.001
769,solved,0.001
770,unsolvable,15.709
771,unsolvable,295.748
772,solved,5.073
773,solved,0
774,solved,0
775,solved,0.001
776,solved,0
777,solved,0
778,unsolvable,0.005
779,solved,0.072
780,solved,0
781,solved,0.022
782,solved,0.005
783,solved,0
784,solved,0.008
785,solved,0.005
786,solved,0
787,solved,0.001
788,solved,0.001
789,solved,0
790,solved,0.003
791,solved,0.083
792,solved,0.157
793,solved,0
794,solved,0
795,solved,0
796,solved,0
797,solved,0.008
798,solved,0
799,solved,0.078
800,solved,0
801,unsolvable,0
802,solved,0.001
803,solved,0.016
804,solved,0
805,solved,0.001
806,solved,0
807,solved,1.936
808,solved,0
809,unsolvable,0.052
810,solved,3.758
811,solved,0.076
812,solved,0
813,solved,0.182
814,solved,0
815,solved,0.001
816,solved,0.033
817,solved,0
818,unsolvable,146.086
819,solved,0
820,solved,0.001
821,solved,0
822,unsolvable,0.158
823,solved,0
824,solved,0
825,solved,0.001
826,solved,0
827,solved,0.048
828,solved,0.002
829,solved,74.937
830,solved,0
831,solved,0.051
832,solved,9.401
833,solved,0.001
834,unsolvable,0.109
835,solved,0.003
836,solved,59.373
837,unsolvable,0.256
838,solved,0.065
839,unsolvable,2.805
840,solved,0.001
841,solved,0.019
842,solved,21.395
843,solved,0
844,solved,0.056
845,unsolvable,40.703
846,solved,0.004
847,solved,0.047
848,solved,0
849,unsolvable,0.65
850,solved,0
851,solved,0.004
852,solved,0.005
853,solved,1.023
854,unsolvable,22.223
855,solved,0.001
856,solved,0
857,solved,0
858,unsolvable,0.289
859,unsolvable,73.674
860,solved,0
861,solved,0.001
862,unsolvable,0.086
863,solved,0
864,solved,0
865,solved,0
866,unsolvable,0.003
867,solved,0
868,unsolvable,1.972
869,solved,0
870,solved,0.012
871,solved,0
872,solved,0.099
873,solved,0.523
874,solved,0.458
875,solved,0.003
876,solved,0.009
877,solved,10.917
878,solved,0
879,unsolvable,0.009
880,solved,0
881,solved,0.001
882,solved,0.017
883,unsolvable,0.463
884,unsolvable,4.77
885,solved,0.142
886,solved,0.001
887,solved,0.086
888,solved,0
889,unsolvable,26.822
890,solved,0.913
891,unsolvable,1.959
892,solved,0.007
893,unsolvable,7.674
894,solved,0
895,unsolvable,14.077
896,solved,0.29
897,solved,0
898,unsolvable,116.208
899,solved,0
900,solved,0.001
901,solved,0
902,solved,0
903,solved,0.021
904,solved,0
905,solved,0.021
906,solved,0.578
907,solved,0.001
908,solved,0.016
909,solved,7.119
910,solved,0
911,solved,0
912,solved,0
913,solved,0
914,solved,0.182
915,solved,0
916,solved,0
917,solved,0
918,solved,0
919,solved,16.767
920,unsolvable,0.487
921,solved,0
922,unsolvable,15.65
923,solved,0.158
924,solved,7.573
925,unsolvable,2.37
926,solved,0
927,unsolvable,0.251
928,unsolvable,0
929,solved,0.693
930,solved,0.109
931,solved,0.007
932,solved,0
933,solved,0.01
934,solved,0
935,solved,0.003
936,solved,0.001
937,solved,0.061
938,solved,0
939,solved,0.004
940,solved,0.022
941,unsolvable,0.191
942,solved,0.011
943,solved,0.003
944,solved,0.035
945,solved,0
946,solved,0.004
947,solved,0.036
948,solved,0.002
949,solved,0
950,solved,34.547
951,solved,53.431
952,unsolvable,0.023
953,solved,0.001
954,solved,0.303
955,solved,0.003
956,solved,0
957,solved,0.004
958,unsolvable,1.811
959,solved,0
960,solved,0
961,unsolvable,32.7
962,solved,0
963,solved,0.232
964,solved,0
965,solved,0.001
966,solved,0
967,unsolvable,0.927
968,solved,0.079
969,solved,0
970,solved,0.778
971,solved,6.154
972,solved,0
973,solved,0.005
974,solved,0.005
975,solved,0
976,unsolvable,16.521
977,unsolvable,0.187
978,solved,0
979,solved,0.003
980,solved,0
981,unsolvable,0.003
982,unsolvable,11.278
983,solved,5.885
