seed,result,time (seconds)
490,unknown,1.784
491,unknown,1.408
492,unknown,1.62
493,unknown,1.229
494,unknown,1.334
495,unknown,1.226
496,unknown,1.171
497,unknown,1.364
498,unknown,1.549
499,unknown,1.348
500,unknown,1.627
501,unknown,1.311
502,unknown,1.168
503,unknown,1.507
504,unsolvable,2.536
505,unknown,1.388
506,unknown,1.422
507,unknown,1.339
508,unknown,1.573
509,unknown,1.501
510,unknown,1.462
511,unknown,1.838
512,unknown,1.525
513,unknown,1.406
514,unknown,1.119
515,unknown,1.122
516,unknown,1.315
517,unknown,1.673
518,unknown,1.336
519,unknown,1.168
520,unsolvable,1.339
521,unknown,1.393
522,unknown,1.52
523,unknown,1.287
524,unknown,1.674
525,unknown,1.335
526,unknown,1.495
527,unknown,1.566
528,unsolvable,0.55
529,unknown,1.637
530,unknown,1.549
531,unknown,1.349
532,unknown,1.297
533,unknown,1.416
534,unknown,1.24
535,unknown,1.555
536,unknown,1.678
537,unknown,1.379
538,unknown,1.291
539,unknown,1.114
540,unknown,1.416
541,unknown,1.348
542,unknown,1.273
543,unknown,1.463
544,unknown,1.454
545,unknown,1.504
546,unknown,1.217
547,unknown,1.188
548,unknown,1.286
549,unknown,1.447
550,unknown,1.318
551,unsolvable,1.752
552,unknown,1.232
553,unknown,1.552
554,unknown,1.361
555,unknown,1.345
556,unknown,1.516
557,unknown,1.374
558,unknown,1.893
559,unknown,1.352
560,unknown,1.293
561,unknown,1.303
562,unknown,1.368
563,unknown,1.316
564,unknown,1.525
565,unknown,1.43
566,unknown,1.322
567,unknown,1.19
568,unknown,1.249
569,unknown,1.473
570,unknown,1.144
571,unknown,1.139
572,unknown,1.576
573,unknown,1.147
574,unknown,1.254
575,unknown,1.403
576,unknown,1.415
577,unknown,1.253
578,unknown,1.369
579,unknown,1.284
580,unknown,1.542
581,unknown,1.461
582,unknown,1.6
583,unknown,1.54
584,unknown,1.27
585,unknown,1.48
586,unsolvable,2.028
587,unsolvable,1.199
588,unknown,1.343
589,unknown,1.491
590,unknown,1.802
591,unsolvable,1.121
592,unknown,1.389
593,unknown,1.192
594,unknown,1.805
595,unknown,1.216
596,unknown,1.334
597,unknown,1.316
598,unknown,1.187
599,unknown,1.211
600,unknown,1.72
601,unknown,1.155
602,unknown,1.4
603,unknown,1.202
604,unknown,1.268
605,unknown,1.663
606,unknown,1.305
607,unknown,1.431
608,unknown,1.639
609,unknown,1.337
610,unsolvable,0.829
611,unsolvable,2.782
612,unknown,1.473
613,unknown,1.216
614,unknown,1.256
615,unsolvable,0.692
616,unknown,1.638
617,unknown,1.729
618,unknown,1.401
619,unknown,1.455
620,unknown,1.391
621,unknown,1.294
622,unknown,1.265
623,unknown,1.643
624,unknown,1.327
625,unsolvable,6.495
626,unsolvable,10.576
627,unsolvable,7.565
628,unknown,1.381
629,unknown,1.549
630,unknown,1.535
631,unknown,1.633
632,unsolvable,0.717
633,unknown,1.688
634,unknown,1.621
635,unknown,1.548
636,unknown,1.71
637,unknown,1.348
638,unknown,1.556
639,unknown,1.196
640,unknown,1.685
641,unknown,1.346
642,unknown,1.853
643,unknown,2.228
644,unknown,1.342
645,unknown,1.42
646,unknown,1.441
647,unknown,1.498
648,unknown,1.164
649,unknown,1.299
650,unknown,1.327
651,unknown,1.531
652,unknown,1.244
653,unknown,1.356
654,unknown,1.305
655,unknown,1.335
656,unknown,1.525
657,unknown,1.314
658,unknown,1.336
659,unknown,1.099
660,unknown,1.662
661,unknown,1.595
662,unknown,1.213
663,unknown,1.497
664,unknown,1.473
665,unknown,1.452
666,unknown,1.327
667,unknown,1.474
668,unsolvable,0.854
