seed,result,time (seconds)
613,solved,0.018
614,solved,0.102
615,unknown,0
616,solved,0
617,solved,0.007
618,solved,0
619,unknown,47.967
620,solved,0
621,solved,0.006
622,solved,0.172
623,solved,0.02
624,solved,0
625,unknown,0
626,unknown,0
627,unknown,16.951
628,solved,0
629,solved,0
630,solved,0
631,solved,0.066
632,unknown,0.537
633,unknown,0.06
634,solved,0.004
635,solved,0
636,solved,0.216
637,solved,0.005
638,solved,1.278
639,solved,0.036
640,solved,0.001
641,solved,0.002
642,solved,0.217
643,solved,0.215
644,solved,0.001
645,solved,0.007
646,solved,0.001
647,solved,0.18
648,solved,0
649,solved,0.917
650,solved,0.132
651,solved,0.001
652,solved,0
653,solved,0.001
654,solved,0
655,solved,0.064
656,solved,0.269
657,solved,0.003
658,solved,0
659,solved,0
660,solved,0.046
661,solved,0
662,solved,0.057
663,solved,0.001
664,solved,0
665,solved,0.002
666,solved,0.138
667,solved,0
668,unknown,0.595
669,solved,13.904
670,solved,0.003
671,solved,0
672,solved,0.001
673,solved,0.011
674,solved,0
675,solved,0.007
676,solved,7.052
677,unknown,0.121
678,solved,0.002
679,unknown,32.148
680,solved,0
681,solved,0.012
682,unknown,0.054
683,unknown,0.019
684,solved,0.002
685,solved,0.009
686,solved,0
687,solved,0.01
688,solved,0
689,solved,0.011
690,solved,0.258
691,unknown,0.618
692,solved,0
693,unknown,39.87
694,unknown,0.726
695,unknown,0.838
696,solved,0.011
697,solved,0.002
698,unknown,0.564
699,solved,0.011
700,solved,0.02
701,unknown,49.062
702,solved,0.421
703,solved,0.087
704,solved,0.002
705,solved,0.388
706,solved,0.59
707,solved,0
708,solved,0
709,solved,0.566
710,solved,0.009
711,solved,0
712,solved,0
713,solved,0.002
714,unknown,53.773
715,solved,26.893
716,solved,0.012
717,unknown,0.154
718,solved,0.121
719,unknown,223.585
720,solved,0.011
721,solved,0
722,unknown,63.12
723,unknown,0
724,solved,0.027
725,solved,0.012
726,solved,0
727,solved,0.033
728,solved,0.035
729,unknown,0.024
730,solved,0.498
731,solved,0.004
732,solved,0
733,solved,0.002
734,solved,0.003
735,solved,0
736,unknown,0
737,solved,0
738,solved,0.024
739,solved,0.005
740,solved,0
741,solved,0.001
742,solved,0.012
743,solved,0
744,solved,0
745,solved,11.48
746,solved,0.444
747,solved,0
748,solved,0.001
749,solved,0
750,unknown,0.437
751,solved,5.986
752,solved,1.092
753,solved,0.202
754,solved,0.099
755,solved,0.003
756,solved,0.003
757,solved,0.001
758,solved,0.636
759,solved,0.001
760,solved,0.004
761,solved,0
762,solved,1.631
763,solved,0.004
764,solved,0.001
765,unknown,44.961
766,solved,0.002
767,solved,1.462
768,solved,0.001
769,solved,0.02
770,unknown,1.016
771,unknown,44.556
772,solved,9.919
773,solved,0
774,solved,0.001
775,solved,0
776,solved,0
777,solved,0
778,unknown,0.004
779,solved,0.007
780,solved,0.003
781,solved,0.013
782,solved,0.018
783,solved,0
784,unknown,62.883
785,solved,0
786,solved,0
787,solved,0.011
788,solved,0.004
789,solved,0
790,solved,0
791,solved,0.006
792,solved,0.052
793,solved,0
794,solved,0
795,solved,0
796,solved,0.007
797,solved,0.072
798,solved,0.004
799,solved,0.02
800,solved,0.002
801,unknown,0
802,solved,0
803,solved,0.065
804,solved,0
805,solved,0.001
806,solved,0
807,solved,0.528
808,solved,0.001
809,unknown,0.012
810,solved,1.21
811,solved,0.093
812,solved,0
813,solved,0.244
814,solved,0
815,solved,0.001
816,solved,0.02
817,solved,0.001
818,unknown,4.019
819,solved,0
820,solved,0.001
821,solved,0.016
822,unknown,0.134
823,solved,0
824,solved,0.017
825,solved,0
826,solved,0.003
827,solved,0.093
828,solved,0.005
829,solved,9.785
830,solved,0.001
831,solved,0.008
832,solved,1.551
833,solved,0.003
834,unknown,0.045
835,solved,0.086
836,solved,0.254
837,unknown,0.242
838,solved,0.004
839,unknown,0.615
840,solved,0
841,solved,0.004
842,solved,6.109
843,solved,0
844,solved,0.028
845,unknown,14.046
846,solved,0.003
847,solved,0.028
848,solved,0.003
849,unknown,0.477
850,solved,0.002
851,solved,0.001
852,solved,0.001
853,solved,0.382
854,unknown,1.416
855,solved,0.001
856,solved,0
857,solved,0
858,unknown,0.145
859,unknown,5.816
860,solved,0
861,unknown,0.031
862,unknown,0.126
863,solved,0
864,solved,0
865,solved,0
866,unknown,0.005
867,solved,0.002
868,unknown,0.769
869,solved,0
870,solved,0.006
871,solved,0
872,solved,0.013
873,solved,0.178
874,solved,0.019
875,solved,0.001
876,solved,0.002
877,solved,2.281
878,solved,0.005
879,unknown,0.008
880,solved,0
881,solved,0.019
882,solved,0.001
883,unknown,0.254
884,unknown,2.513
885,solved,0.097
886,solved,0
887,solved,0.016
888,solved,0.004
889,unknown,6.061
890,solved,4.358
891,unknown,0.969
892,solved,0.002
893,unknown,2.449
894,solved,0.02
895,unknown,3.425
896,solved,0.018
897,solved,0.008
898,unknown,21.457
899,solved,0.903
900,solved,0
901,solved,0
902,solved,0.01
903,solved,0
904,solved,0.001
905,solved,0.016
906,solved,0.164
907,solved,0.001
908,solved,0.001
909,solved,1.393
910,solved,0
911,solved,0
912,solved,0.01
913,solved,0.014
914,solved,0.63
915,solved,0
916,solved,0
917,solved,0
918,solved,0
919,solved,3.651
920,unknown,0.096
921,solved,0
922,unknown,2.15
923,solved,0.004
924,solved,0.397
925,unknown,1.039
926,solved,0
927,unknown,0.044
928,unknown,0
929,solved,0.147
930,solved,0.064
931,solved,0.004
932,solved,0
933,solved,0.004
934,solved,0
935,solved,0.002
936,solved,0.281
937,solved,0.357
938,solved,0.003
939,solved,14.268
940,solved,0.005
941,unknown,0.122
942,solved,0.012
943,solved,0.002
944,solved,0.017
945,solved,0.001
946,solved,0
947,solved,0.007
948,solved,0.002
949,solved,0.001
950,solved,3.357
951,solved,21.743
952,unknown,0.021
953,solved,0
954,solved,0.13
955,solved,0.001
956,solved,0.011
957,solved,0.001
958,unknown,0.283
959,solved,0
960,solved,0.006
961,unknown,0.701
962,solved,0
963,solved,0.023
964,solved,0
965,solved,0.003
966,solved,0
967,unknown,0.493
968,solved,0.004
969,solved,0
970,solved,0.749
971,solved,0.987
972,solved,0.005
973,solved,0.151
974,solved,0.001
975,solved,0
976,unknown,1.721
977,unknown,0.163
978,solved,0
979,solved,0.601
980,solved,0
981,unknown,0.003
982,unknown,6.269
983,solved,1.359
984,solved,4.63
985,solved,0
986,solved,0
987,solved,0.001
988,solved,0.018
989,unknown,2.681
990,solved,0
991,solved,0.002
992,solved,0.129
993,solved,0.101
994,solved,0.018
995,solved,0.002
996,solved,0.003
997,unknown,0.126
998,unknown,0.041
999,solved,0
1000,unknown,126.47
1001,unknown,0.353
1002,solved,0.001
1003,solved,0.017
1004,solved,0.007
1005,solved,0
1006,solved,0.432
1007,solved,2.535
1008,solved,0.003
1009,solved,0.283
1010,solved,1.755
1011,solved,8.945
1012,solved,0
1013,solved,0.026
1014,solved,1.857
1015,solved,0
1016,solved,0
1017,solved,0
1018,solved,0
1019,solved,0.04
1020,solved,0
1021,solved,0.014
1022,solved,0.004
1023,solved,0.133
1024,unknown,0
1025,solved,0
1026,unknown,66.068
1027,unknown,1.006
1028,solved,0.018
1029,solved,0
1030,solved,0
1031,solved,10.27
1032,unknown,5.661
1033,unknown,0.033
1034,solved,0
1035,solved,0
1036,solved,0.003
1037,solved,0.084
1038,solved,6.748
1039,solved,0.002
1040,solved,0
1041,solved,0
1042,solved,0.003
1043,solved,0.072
1044,unknown,0.012
1045,solved,0.146
1046,unknown,0.449
1047,solved,0
1048,solved,0.001
1049,solved,0
1050,solved,0.005
1051,solved,0.003
1052,solved,0.029
1053,solved,0.092
1054,solved,0.001
1055,unknown,5.72
1056,solved,0
1057,solved,1.186
1058,unknown,0.05
1059,solved,0.006
1060,unknown,4.762
1061,solved,0.001
1062,solved,0.002
1063,unknown,1.97
1064,solved,0
1065,unknown,1.383
1066,unknown,0
1067,unknown,0.003
1068,solved,0.027
1069,solved,0.008
1070,unknown,0.8
1071,solved,0
1072,solved,0.001
1073,solved,0
1074,unknown,0.069
1075,solved,0.003
1076,solved,0.013
1077,unknown,0.932
1078,unknown,1.099
1079,solved,0.045
1080,solved,0.243
1081,unknown,0
1082,unknown,0.299
1083,solved,0.667
1084,solved,1.257
1085,solved,0.001
1086,unknown,0.025
1087,solved,0.019
1088,solved,0.053
1089,solved,121.043
1090,solved,0.028
1091,solved,0.016
1092,solved,0.002
1093,solved,0.079
1094,solved,0.01
1095,solved,0
1096,solved,0.001
1097,solved,0.011
1098,solved,0.029
1099,solved,0.33
1100,solved,5.667
1101,solved,0
1102,unknown,0.314
1103,solved,0.001
1104,solved,0.001
1105,unknown,0
1106,unknown,0
1107,solved,0.009
1108,solved,0.023
1109,solved,0.036
1110,unknown,44.699
1111,solved,0
1112,solved,0
1113,unknown,86.401
1114,solved,0.007
1115,solved,0
1116,solved,0
1117,solved,0.014
1118,solved,0.07
1119,solved,1.622
1120,unknown,1.938
1121,solved,0
1122,solved,0.765
1123,solved,0.001
1124,solved,0.002
1125,unknown,0.001
1126,solved,0.018
1127,solved,0.041
1128,solved,0
1129,solved,7.448
1130,solved,0.001
1131,solved,0
1132,unknown,44.904
1133,solved,0.218
1134,solved,0.005
1135,solved,0.046
1136,solved,0
1137,unknown,0.084
1138,solved,0.002
1139,unknown,0
1140,solved,1133.738
1141,solved,0.004
1142,solved,0.005
1143,solved,0
1144,solved,0
1145,solved,0.999
1146,solved,0
1147,solved,0.01
1148,solved,0
1149,solved,0.158
1150,solved,0.022
1151,solved,2.302
1152,solved,0.001
1153,unknown,0.902
1154,solved,0.028
1155,solved,0.001
1156,solved,0.152
1157,unknown,0.138
1158,solved,0
1159,unknown,0.046
1160,unknown,0.544
1161,solved,0.235
1162,solved,2.997
1163,solved,0
1164,unknown,3.402
1165,unknown,0.32
1166,unknown,0
1167,solved,0.002
1168,solved,0
1169,solved,0.548
1170,unknown,27.074
1171,solved,0
1172,solved,0
1173,solved,0.101
1174,solved,0.178
1175,solved,0.001
1176,solved,0.075
1177,solved,0
1178,solved,0.548
1179,unknown,0
1180,solved,2.849
1181,solved,0.182
1182,solved,0.001
1183,unknown,0
1184,solved,0
1185,solved,0.001
1186,solved,0.005
1187,unknown,0.002
1188,solved,0.103
1189,unknown,0.253
1190,solved,0.001
1191,unknown,0.038
1192,unknown,21.506
1193,solved,0.029
1194,solved,0
1195,solved,0
1196,solved,0
1197,solved,0.008
1198,solved,0.004
1199,unknown,0
1200,solved,0.001
1201,solved,0.009
1202,solved,13.96
1203,solved,0.119
1204,unknown,1.598
1205,solved,0.211
1206,unknown,5.581
1207,unknown,0.055
1208,solved,0
1209,solved,0.01
1210,solved,0.031
1211,solved,0.265
1212,unknown,1.844
1213,solved,0.084
1214,unknown,0.127
1215,solved,0.001
1216,solved,0.065
1217,solved,0
1218,solved,0.037
1219,solved,0
1220,solved,1.203
1221,solved,0.089
1222,solved,0.024
1223,solved,0.001
1224,solved,4.073
1225,solved,0
1226,solved,0
1227,solved,0.014
1228,solved,0
1229,solved,3.767
1230,solved,0.038
1231,solved,0
1232,solved,0.045
1233,solved,0.003
1234,solved,0
1235,solved,0
1236,solved,0.01
1237,solved,0
1238,solved,0.042
1239,solved,0.007
1240,unknown,0.035
1241,solved,0.002
1242,unknown,0.534
1243,solved,0
1244,solved,0
1245,solved,0.002
1246,solved,0.001
1247,unknown,0.155
1248,unknown,1.018
1249,unknown,3.302
1250,solved,0.002
1251,unknown,8.892
1252,solved,0
1253,solved,0.001
1254,solved,0.047
1255,solved,0
1256,solved,0.007
1257,solved,0
1258,solved,0
1259,solved,0.001
1260,solved,0.493
1261,solved,0
1262,solved,0.182
1263,solved,0.374
1264,solved,0.011
1265,solved,0.004
1266,solved,0.001
1267,solved,0
1268,solved,0.006
1269,solved,0.042
1270,unknown,4.927
1271,solved,22.203
1272,solved,0
1273,unknown,0.436
1274,solved,0.022
1275,solved,0
1276,solved,0
1277,unknown,1.524
1278,solved,0.025
1279,solved,0.875
1280,solved,0.001
1281,unknown,0.32
1282,solved,0.005
1283,solved,0.077
1284,solved,8.124
1285,solved,0.267
1286,unknown,0.008
1287,solved,0.04
1288,unknown,0.377
1289,solved,0.384
1290,solved,0
1291,solved,0.027
1292,solved,0
1293,solved,0.004
1294,unknown,0.002
1295,solved,0.033
1296,solved,0
1297,solved,0.37
1298,solved,0.009
1299,solved,0
1300,solved,0.078
1301,unknown,0
1302,solved,0
1303,solved,0
1304,solved,1.262
1305,solved,0.022
1306,solved,0.003
1307,solved,0.234
1308,solved,0.017
1309,solved,0.011
1310,unknown,0.008
1311,solved,0.075
1312,solved,0.002
1313,solved,15.155
1314,solved,0.089
1315,solved,0.001
1316,solved,1.221
1317,solved,0.004
1318,solved,0.067
1319,unknown,0.184
1320,solved,0.079
1321,solved,0
1322,solved,0.001
1323,solved,0.009
1324,solved,3.224
1325,solved,0.125
1326,solved,0
1327,solved,0.531
1328,solved,0.029
1329,unknown,6.153
1330,unknown,1.203
1331,solved,0.103
1332,unknown,4.481
1333,solved,0.385
1334,unknown,0.121
1335,unknown,0.002
1336,solved,0
1337,solved,0.001
1338,unknown,2.572
1339,unknown,0.044
1340,solved,0
1341,solved,0
1342,unknown,0.815
1343,solved,0.005
1344,solved,0
1345,solved,0.006
1346,solved,0
1347,solved,0.055
1348,solved,0.003
1349,solved,0
1350,unknown,0.363
1351,solved,0.012
1352,solved,1.574
1353,solved,0.006
1354,solved,7.595
1355,solved,0.925
1356,solved,0
1357,unknown,0.826
1358,unknown,8.353
1359,solved,21.274
1360,solved,0.066
1361,solved,0.001
1362,solved,0.002
1363,solved,0.005
1364,solved,0
1365,solved,0.003
1366,unknown,0
1367,solved,0
1368,solved,8.585
1369,solved,0
1370,solved,0.02
1371,solved,0.002
1372,solved,0.142
1373,solved,0
1374,solved,7.441
1375,solved,0.002
1376,solved,0.005
1377,solved,0
1378,unknown,1.306
1379,solved,0.743
1380,solved,0.009
1381,unknown,4.561
1382,solved,0.002
1383,solved,0.018
1384,solved,0
1385,unknown,0
1386,solved,2.325
1387,solved,0.008
1388,solved,0.002
1389,solved,0.001
1390,solved,0
1391,solved,0
1392,solved,0
1393,solved,0.038
1394,solved,0.001
1395,solved,0
1396,solved,0.012
1397,solved,0
1398,solved,0.011
1399,solved,0.004
1400,unknown,0.492
1401,solved,0
1402,unknown,0.02
1403,solved,0.001
1404,solved,0.037
1405,solved,0.041
1406,solved,0.007
1407,unknown,0.162
1408,solved,0.018
1409,unknown,0.512
1410,solved,0.017
1411,solved,0.006
1412,solved,0.055
1413,unknown,1.194
1414,solved,0
1415,unknown,189.789
1416,solved,0
1417,solved,0.848
1418,solved,0.001
1419,solved,0.005
1420,solved,0
1421,unknown,0.001
1422,solved,0.275
1423,unknown,0.246
1424,solved,0.001
1425,solved,0.011
1426,solved,0.006
1427,solved,0
1428,unknown,230.275
1429,solved,0
1430,unknown,13.261
1431,solved,0.003
1432,unknown,0.15
1433,unknown,6.42
1434,solved,12.223
1435,solved,0.002
1436,unknown,0.112
1437,unknown,0
1438,solved,0
1439,solved,0.058
1440,unknown,4.345
1441,solved,0.002
1442,unknown,0.282
1443,unknown,3.208
1444,unknown,2.071
1445,solved,0
1446,solved,0.005
1447,solved,0
1448,solved,0.062
1449,solved,0.519
1450,solved,0.032
1451,solved,1.207
1452,solved,0.002
1453,solved,190.854
1454,solved,0.004
1455,solved,0.398
1456,solved,0
1457,unknown,0.052
1458,solved,0.001
1459,solved,0.001
1460,solved,0.013
1461,solved,0.041
1462,solved,0.233
1463,solved,0.009
1464,solved,0
1465,unknown,0.086
1466,unknown,3.245
1467,solved,0.69
1468,solved,0.2
1469,solved,0
1470,solved,0.15
1471,unknown,0.24
1472,solved,0.003
1473,solved,6.783
1474,unknown,0.048
1475,unknown,0.002
1476,solved,0.017
1477,solved,0.05
1478,solved,0.809
1479,solved,0.007
1480,solved,54.141
1481,solved,0.033
1482,solved,58.956
1483,solved,0
1484,solved,0
1485,solved,0
1486,solved,0
1487,solved,0.005
1488,solved,0.349
1489,unknown,1.682
1490,solved,0.331
1491,solved,0
1492,unknown,2.675
1493,solved,0.599
1494,solved,0
1495,solved,0.1
1496,solved,0.002
1497,solved,0.002
1498,unknown,26.186
1499,solved,5.454
1500,solved,0
1501,solved,0
1502,solved,0
1503,solved,7.812
1504,solved,0.063
1505,solved,0.023
1506,solved,0.001
1507,unknown,0
1508,solved,0.011
1509,unknown,6.912
1510,solved,0.021
1511,solved,0.001
1512,solved,0.004
1513,solved,0.001
1514,solved,2.681
1515,solved,1.85
1516,solved,0
1517,solved,0.002
1518,solved,0.002
1519,solved,0.725
1520,solved,0.001
1521,solved,0.006
1522,solved,0.083
1523,unknown,0
1524,solved,0
1525,unknown,0.104
1526,unknown,0
1527,solved,0.001
1528,solved,0
1529,unknown,0
1530,solved,0.221
1531,solved,0.009
1532,solved,0.006
1533,unknown,0
1534,solved,0.002
1535,solved,0.953
1536,solved,0.65
1537,solved,0.887
1538,solved,0
1539,solved,0
1540,unknown,2.256
1541,solved,0.103
1542,solved,3.455
1543,solved,0.001
1544,unknown,11.496
1545,solved,0
1546,solved,0.043
1547,solved,0.087
1548,solved,0.349
1549,solved,0.011
1550,unknown,0.006
1551,solved,0
1552,solved,0
