seed,result,time (seconds)
483,unknown,24.003
484,unknown,30.459
485,unknown,22.145
486,unknown,17.627
487,unknown,16.656
488,unknown,8.272
489,unknown,48.742
490,unknown,22.498
491,unknown,18.016
492,unknown,17.943
493,unknown,25.439
494,unknown,12.25
495,unknown,46.432
496,unknown,23.96
497,unknown,20.889
498,unknown,27.865
499,unknown,23.114
500,unknown,10.32
501,unknown,60.327
502,unknown,30.74
503,unknown,30.879
504,unsolvable,9.376
505,unknown,18.27
506,unknown,31.426
507,unknown,19.676
508,unknown,10.185
509,unknown,41.221
510,unknown,27.594
511,unknown,26.214
512,unknown,40.845
513,unknown,18.132
514,unknown,38.381
515,unknown,89.923
516,unknown,37.123
517,unknown,19.213
518,unknown,24.165
519,unknown,10.168
520,unsolvable,10.664
521,unknown,112.476
522,unknown,38.461
523,unknown,34.668
524,unknown,17.198
525,unknown,108.738
526,unknown,17.791
527,unknown,21.833
528,unsolvable,1.392
529,unknown,49.947
530,unknown,20.084
531,unknown,15.939
532,unknown,72.994
533,unsolvable,182.635
534,unknown,10.531
535,unknown,82.573
536,unknown,34.753
537,unknown,16.496
538,unknown,24.939
539,unknown,23.317
540,unknown,26.766
541,unknown,70.831
542,unknown,26.437
543,unknown,31.39
544,unknown,33.92
545,unknown,6.291
546,unknown,21.701
547,unknown,24.669
548,unknown,47.676
549,unknown,24.895
550,unknown,41.949
551,unsolvable,6.384
552,unknown,25.201
553,unknown,33.114
554,unknown,25.766
555,unknown,19.976
556,unknown,26.635
557,unknown,42.684
558,unknown,18.09
559,unknown,70.602
560,unknown,18.672
561,unknown,9.178
562,unknown,7.278
563,unknown,8.998
564,unknown,41.57
565,unknown,12.511
566,unknown,63.03
567,unknown,25.51
568,unknown,31.517
569,unsolvable,138.47
570,unknown,8.748
571,unknown,9.514
572,unknown,73.022
573,unknown,32.454
574,unknown,19.24
575,unknown,54.045
576,unknown,20.865
577,unknown,20.724
578,unknown,40.248
579,unknown,12.936
580,unknown,45.271
581,unknown,34.366
582,unknown,19.638
583,unknown,17.785
584,unknown,31.951
585,unknown,16.089
586,unsolvable,17.784
587,unsolvable,3.166
588,unknown,31.624
589,unknown,16.096
590,unknown,25.962
591,unsolvable,3.37
592,unknown,7.791
593,unknown,29.511
594,unknown,26.264
595,unknown,59.246
596,unknown,44.332
597,unknown,21.57
598,unknown,7.995
599,unknown,212.349
600,unknown,15.034
601,unknown,23.598
602,unknown,77.483
603,unknown,42.052
604,unknown,23.057
605,unknown,21.798
606,unknown,29.386
607,unknown,47.481
608,unknown,29.45
609,unsolvable,272.741
610,unsolvable,2.284
611,unsolvable,31.357
612,unsolvable,40.041
613,unknown,26.539
614,unknown,64.011
615,unsolvable,2.174
616,unknown,39.817
617,unknown,24.415
618,unknown,41.004
619,unknown,27.934
620,unknown,21.334
621,unknown,29.959
622,unknown,47.062
623,unknown,56.035
624,unknown,21.928
625,unsolvable,28.774
626,unsolvable,44.9
627,unsolvable,15.396
628,unknown,19.098
629,unknown,31.033
630,unknown,19.649
631,unknown,40.34
632,unsolvable,1.895
633,unsolvable,194.75
634,unknown,22.85
635,unknown,24.023
636,unknown,16.606
637,unknown,50.396
638,unknown,27.382
639,unknown,18.681
640,unknown,39.135
641,unknown,42.124
642,unknown,22.86
643,unknown,45.015
644,unknown,86.7
645,unknown,25.399
646,unknown,23.192
647,unknown,71.458
648,unknown,25.429
649,unknown,15.379
650,unknown,91.251
651,unknown,32.865
652,unknown,18.493
653,unknown,32.682
654,unknown,17.154
655,unknown,20.004
656,unknown,23.155
657,unknown,21.458
658,unknown,56.036
659,unknown,94.566
660,unknown,41.835
661,unknown,181.199
662,unknown,45.76
663,unknown,9.549
664,unknown,32.021
665,unknown,17.446
666,unknown,66.244
667,unknown,28.505
668,unsolvable,3.537
669,unknown,23.992
670,unknown,30.153
671,unknown,31.87
672,unknown,10.366
673,unknown,31.439
674,unknown,44.007
675,unknown,35.845
676,unknown,31.303
677,unknown,66.142
678,unknown,57.481
679,unknown,25.633
680,unknown,26.839
681,unknown,197.479
682,unsolvable,3.907
683,unsolvable,17.717
684,unknown,45.765
685,unknown,31.476
686,unknown,10.012
687,unknown,23.916
688,unknown,11.157
689,unknown,28.251
690,unknown,42.266
691,unknown,63.471
692,unknown,28.287
693,unknown,48.757
694,unsolvable,2.3
695,unknown,44.898
696,unknown,17.495
697,unknown,186.814
698,unsolvable,295.941
699,unknown,33.251
700,unknown,15.774
701,unsolvable,3.438
702,unknown,17.153
703,unknown,26.193
704,unknown,64.977
705,unknown,8.825
706,unknown,62.287
707,unknown,30.848
708,unknown,16.559
709,unknown,33.806
710,unknown,67.225
711,unknown,96.27
712,unknown,62.183
713,unknown,28.692
714,unknown,39.795
715,unknown,24.884
716,unknown,11.936
717,unsolvable,8.418
718,unknown,30.457
719,unsolvable,1.555
720,unknown,65.869
721,unknown,51.59
722,unsolvable,1.479
723,unsolvable,41.881
724,unknown,67.862
725,unknown,49.966
726,unknown,23.751
727,unknown,26.651
728,unknown,30.948
729,unsolvable,3.693
730,unknown,23.667
731,unknown,18.015
732,unknown,107.331
733,unknown,47.005
734,unknown,23.97
735,unknown,16.22
736,unsolvable,2.451
737,unknown,19.862
738,unknown,40.537
739,unknown,27.412
740,unknown,40.927
741,unknown,17.616
742,unknown,12.114
743,unknown,60.562
744,unknown,10.077
745,unknown,34.635
746,unknown,37.343
747,unknown,26.824
748,unknown,24.543
749,unknown,41.391
750,unsolvable,1.964
751,unknown,11.511
752,unknown,46.706
753,unknown,25.457
754,unknown,32.66
755,unknown,44.952
756,unknown,10.285
757,unknown,31.518
758,unknown,32.727
759,unknown,69.056
760,unknown,47.724
761,unknown,30.234
762,unknown,28.6
763,unknown,17.741
764,unknown,10.503
765,unknown,47.205
766,unknown,13.866
767,unknown,21.639
768,unknown,27.789
769,unknown,28.194
770,unsolvable,2.259
771,unsolvable,2.502
772,unknown,52.714
773,unknown,28.997
774,unknown,50.401
775,unknown,31.443
776,unknown,36.319
777,unknown,23.43
778,unsolvable,1.811
779,unknown,28.231
780,unknown,16.401
781,unknown,25.546
782,unknown,35.092
783,unknown,17.453
784,unknown,55.173
785,unknown,7.906
786,unknown,27.425
787,unknown,72.851
788,unknown,65.825
789,unknown,19.236
790,unknown,19.342
791,unknown,20.204
792,unknown,26.363
793,unknown,63.663
794,unknown,36.555
795,unknown,26.663
796,unknown,61.692
797,unknown,28.559
798,unknown,33.834
799,unknown,18.355
800,unknown,54.576
801,unsolvable,37.055
802,unknown,20.145
803,unknown,18.085
804,unknown,43.655
805,unknown,22.983
806,unknown,10.856
807,unknown,35.095
808,unknown,42.893
809,unknown,54.634
810,unknown,22.537
811,unknown,47.007
812,unknown,37.547
813,unknown,34.762
814,unknown,30.64
815,unknown,54.189
816,unknown,38.422
