seed,result,time(seconds)
567,solved,0
568,solved,0
569,unsolvable,0
570,solved,0.26
571,solved,0
572,unsolvable,17.65
573,solved,0
574,solved,0
575,solved,0
576,solved,0.18
577,solved,0
578,solved,0.01
579,solved,0
580,solved,0
581,solved,0.02
582,solved,0
583,unsolvable,17.04
584,solved,0
585,solved,1.8
586,unsolvable,0
587,unsolvable,0.02
588,solved,0.06
589,solved,0.01
590,solved,0
591,unsolvable,3.85
592,solved,0.04
593,solved,58.28
594,solved,0
595,solved,0
596,solved,0
597,solved,0
598,unsolvable,973.05
599,solved,0
600,solved,0
601,solved,1.5
602,unsolvable,5.76
603,solved,0.3
604,solved,0
605,solved,0.01
606,solved,0.03
607,solved,0
608,solved,0
609,unsolvable,0.94
610,unsolvable,10596.89
611,unsolvable,0
612,unsolvable,1.53
613,solved,0.01
614,solved,0.12
615,unsolvable,0
616,solved,0
617,solved,0
618,solved,0
619,unsolvable,295.3
620,solved,0
621,solved,0.01
622,solved,0.21
623,solved,0.02
624,solved,0
625,unsolvable,0
626,unsolvable,0
627,unsolvable,2265.3
628,solved,0
629,solved,0
630,solved,0
631,solved,0.08
632,unsolvable,1.38
633,unsolvable,0.2
634,solved,0
635,solved,0
636,solved,0.27
637,solved,0
638,solved,1.53
639,solved,0.04
640,solved,0
641,solved,0
642,solved,0.15
643,solved,0.17
644,solved,0
645,solved,0
646,solved,0
647,solved,0.22
648,solved,0
649,solved,1.13
650,solved,0.17
651,solved,0
652,solved,0
653,solved,0
654,solved,0
655,solved,0.08
656,solved,0.33
657,solved,0
658,solved,0
659,solved,0
660,solved,0.06
661,solved,0
662,solved,0.07
663,solved,0
664,solved,0
665,solved,0
666,solved,0.17
667,solved,0
668,unsolvable,2.25
669,solved,17.48
670,solved,0
671,solved,0
672,solved,0
673,solved,0.01
674,solved,0
675,solved,0.01
676,solved,8.97
677,unsolvable,0.34
678,solved,0
679,unsolvable,311.08
680,solved,0
681,solved,0.01
682,unsolvable,0.21
683,unsolvable,0.04
684,solved,0
685,solved,0.01
686,solved,0
687,solved,0.01
688,solved,0
689,solved,0.01
690,solved,0.34
691,unsolvable,1.58
692,solved,0
693,unsolvable,233.51
694,unsolvable,5.09
695,solved,1.1
696,solved,0.01
697,solved,0
698,unsolvable,1.53
699,solved,0.01
700,solved,0.02
701,unsolvable,338.61
702,solved,0.49
703,solved,0.07
704,solved,0
705,solved,0.47
706,solved,0.71
707,solved,0
708,solved,0
709,solved,0.71
710,solved,0.01
711,solved,0
712,solved,0
713,solved,0
714,unsolvable,971.31
715,solved,34.87
716,solved,0.01
717,unsolvable,0.38
718,solved,0.16
719,unsolvable,23594.56
720,solved,0.01
721,solved,0
722,unsolvable,3905.87
723,unsolvable,0
724,solved,0.03
725,solved,0.01
726,solved,0
727,solved,0.04
728,solved,0.04
729,unsolvable,0.07
730,solved,0.61
731,solved,0
732,solved,0
733,solved,0
734,solved,0
735,solved,0
736,unsolvable,0
737,solved,0
738,solved,0.03
739,solved,0
740,solved,0
741,solved,0
742,solved,0.01
743,solved,0
744,solved,0
745,solved,14.45
746,solved,0.56
747,solved,0
748,solved,0
749,solved,0
750,unsolvable,1.26
751,solved,7.07
752,solved,1.34
753,solved,0.25
754,solved,0.07
755,solved,0
756,solved,0
757,solved,0
758,solved,0.78
759,solved,0
760,solved,0
761,solved,0
762,solved,1.75
763,solved,0
764,solved,0
765,unsolvable,214.04
766,solved,0
767,solved,1.27
768,solved,0
769,solved,0.03
770,unsolvable,20.52
771,unsolvable,423.46
772,solved,12.61
773,solved,0
774,solved,0
775,solved,0
776,solved,0
777,solved,0
778,unsolvable,0.01
779,solved,0.01
780,solved,0
781,solved,0.01
782,solved,0.02
783,solved,0
784,solved,82.03
785,solved,0
786,solved,0
787,solved,0.01
788,solved,0
789,solved,0
790,solved,0
791,solved,0
792,solved,0.06
793,solved,0
794,solved,0
795,solved,0
796,solved,0.01
797,solved,0.09
798,solved,0
799,solved,0.02
800,solved,0
801,unsolvable,0
802,solved,0
803,solved,0.08
804,solved,0
805,solved,0
806,solved,0
807,solved,0.66
808,solved,0
809,unsolvable,0.05
810,solved,1.53
811,solved,0.07
812,solved,0
813,solved,0.3
814,solved,0
815,solved,0
816,solved,0.02
817,solved,0
818,unsolvable,186.25
819,solved,0
820,solved,0
821,solved,0.02
822,unsolvable,0.34
823,solved,0
824,solved,0.02
825,solved,0
826,solved,0
827,solved,0.11
828,solved,0
829,solved,12.13
830,solved,0
831,solved,0.01
832,solved,1.96
833,solved,0
834,unsolvable,0.18
835,solved,0.06
836,solved,0.31
837,unsolvable,0.45
838,solved,0
839,unsolvable,4
840,solved,0
841,solved,0
842,solved,7.68
843,solved,0
844,solved,0.03
845,unsolvable,66.26
846,solved,0
847,solved,0.02
848,solved,0
849,unsolvable,1.02
850,solved,0
851,solved,0
852,solved,0
853,solved,0.47
854,unsolvable,27.89
855,solved,0
856,solved,0
857,solved,0
858,unsolvable,0.53
859,unsolvable,94.77
860,solved,0
861,solved,0.02
862,unsolvable,0.18
863,solved,0
864,solved,0
865,solved,0
866,unsolvable,0
867,solved,0
868,unsolvable,3.18
869,solved,0
870,solved,0
871,solved,0
872,solved,0.01
873,solved,0.21
874,solved,0.02
875,solved,0
876,solved,0
877,solved,2.91
878,solved,0
879,unsolvable,0.02
880,solved,0
881,solved,0.02
882,solved,0
883,unsolvable,0.63
884,unsolvable,8.45
885,solved,0.11
886,solved,0
887,solved,0.02
888,solved,0
889,unsolvable,40.3
890,solved,3.65
891,unsolvable,3.14
892,solved,0
893,unsolvable,11.99
894,solved,0.02
895,unsolvable,21.48
896,solved,0.02
897,solved,0.01
898,unsolvable,166.7
899,solved,0.67
900,solved,0
901,solved,0
902,solved,0.01
903,solved,0
904,solved,0
905,solved,0.01
906,solved,0.2
907,solved,0
908,solved,0
909,solved,1.8
910,solved,0
911,solved,0
912,solved,0.01
913,solved,0.01
914,solved,0.8
915,solved,0
916,solved,0
917,solved,0
918,solved,0
919,solved,4.75
920,unsolvable,0.42
921,solved,0
922,unsolvable,20.96
923,solved,0
924,solved,0.49
925,unsolvable,4.21
926,solved,0
927,unsolvable,0.22
928,unsolvable,0
929,solved,0.18
930,solved,0.08
931,solved,0
932,solved,0
933,solved,0
934,solved,0
935,solved,0
936,solved,0.34
937,solved,0.44
938,solved,0
939,solved,18.19
940,solved,0
941,unsolvable,0.36
942,solved,0.01
943,solved,0
944,solved,0.02
945,solved,0
946,solved,0
947,solved,0.01
948,solved,0
949,solved,0
950,solved,4.28
951,solved,27.74
952,unsolvable,0.03
953,solved,0
954,solved,0.16
955,solved,0
956,solved,0.01
957,solved,0
958,unsolvable,2.48
959,solved,0
960,solved,0
961,unsolvable,40.21
962,solved,0
963,solved,0.03
964,solved,0
965,solved,0
966,solved,0
967,unsolvable,1.46
968,solved,0
969,solved,0
970,solved,0.75
971,solved,1.19
972,solved,0
973,solved,0.1
974,solved,0
975,solved,0
976,unsolvable,21.95
977,unsolvable,0.32
978,solved,0
979,solved,0.42
980,solved,0
981,unsolvable,0
982,unsolvable,21.05
983,solved,1.67
984,solved,5.83
985,solved,0
986,solved,0
987,solved,0
988,solved,0.01
989,unsolvable,15.15
990,solved,0
991,solved,0
992,solved,0.09
993,solved,0.12
994,solved,0.02
995,solved,0
996,solved,0
997,unsolvable,0.74
998,unsolvable,0.1
999,solved,0
1000,unsolvable,1716.23
1001,unsolvable,2.73
1002,solved,0
1003,solved,0.02
1004,solved,0
1005,solved,0
1006,solved,0.53
1007,solved,3.15
1008,solved,0
1009,solved,0.34
1010,solved,2.09
1011,solved,11.62
1012,solved,0
1013,solved,0.03
1014,solved,2.12
1015,solved,0
1016,solved,0
1017,solved,0
1018,solved,0
1019,solved,0.04
1020,solved,0
1021,solved,0.01
1022,solved,0
1023,solved,0.16
1024,unsolvable,0
1025,solved,0
1026,unsolvable,517.28
1027,unsolvable,3.28
1028,solved,0.02
1029,solved,0
1030,solved,0
1031,solved,13.37
1032,unsolvable,21.96
1033,unsolvable,0.08
1034,solved,0
1035,solved,0
1036,solved,0
1037,solved,0.06
1038,solved,8.52
1039,solved,0
1040,solved,0
1041,solved,0
1042,solved,0
1043,solved,0.1
1044,unsolvable,0.03
1045,solved,0.17
1046,unsolvable,0.97
1047,solved,0
1048,solved,0
1049,solved,0
1050,solved,0
1051,solved,0
1052,solved,0.04
1053,solved,0.06
1054,solved,0
1055,unsolvable,17.51
1056,solved,0
1057,solved,0.85
1058,unsolvable,0.1
1059,solved,0
1060,unsolvable,35.41
1061,solved,0
1062,solved,0
1063,unsolvable,9.2
1064,solved,0
1065,unsolvable,3.77
1066,unsolvable,0
1067,unsolvable,0.01
1068,solved,0.02
1069,solved,0
1070,unsolvable,1.8
1071,solved,0
1072,solved,0
1073,solved,0
1074,unsolvable,0.16
1075,solved,0
1076,solved,0.01
1077,unsolvable,4.32
1078,unsolvable,2.72
1079,solved,0.05
1080,solved,0.19
1081,unsolvable,0
1082,unsolvable,0.83
1083,solved,0.88
1084,solved,1.53
1085,solved,0
1086,unsolvable,0.06
1087,solved,0.02
1088,solved,0.06
1089,solved,157.45
1090,solved,0.03
1091,solved,0.02
1092,solved,0
1093,solved,0.09
1094,solved,0.01
1095,solved,0
1096,solved,0
1097,solved,0.01
1098,solved,0.03
1099,solved,0.4
1100,solved,7.14
1101,solved,0
1102,unsolvable,1.04
1103,solved,0
1104,solved,0
1105,unsolvable,0
1106,unsolvable,0
1107,solved,0.01
1108,solved,0.02
1109,solved,0.04
1110,unsolvable,142.02
1111,solved,0
1112,solved,0
1113,unsolvable,760.72
1114,solved,0.01
1115,solved,0
1116,solved,0
1117,solved,0.01
1118,solved,0.09
1119,solved,2.13
1120,unsolvable,6.48
1121,solved,0
1122,solved,0.96
1123,solved,0
1124,solved,0
1125,unsolvable,0
1126,solved,0.01
1127,solved,0.05
1128,solved,0
1129,solved,9.33
1130,solved,0
1131,solved,0
1132,unsolvable,371.88
1133,solved,0.26
1134,solved,0
1135,solved,0.05
1136,solved,0
1137,unsolvable,0.29
1138,solved,0
1139,unsolvable,0
1140,solved,1419.19
1141,solved,0
1142,solved,0
1143,solved,0
1144,solved,0
1145,solved,1.25
1146,solved,0
1147,solved,0.01
1148,solved,0
1149,solved,0.18
1150,solved,0.01
1151,solved,2.14
1152,solved,0
1153,solved,0.96
1154,solved,0.03
1155,solved,0
1156,solved,0.18
1157,unsolvable,0.84
1158,solved,0
1159,unsolvable,0.14
1160,unsolvable,0.98
1161,solved,0.29
1162,solved,3.78
1163,solved,0
1164,unsolvable,27.24
1165,unsolvable,1.84
1166,unsolvable,0
1167,solved,0
1168,solved,0
1169,solved,0.43
1170,unsolvable,100.83
1171,solved,0
1172,solved,0
1173,solved,0.07
1174,solved,0.13
1175,solved,0
1176,solved,0.09
1177,solved,0
1178,solved,0.67
1179,unsolvable,0
1180,solved,3.59
1181,solved,0.14
1182,solved,0
1183,unsolvable,0
1184,solved,0
1185,solved,0
1186,solved,0
1187,unsolvable,0
1188,solved,0.13
1189,unsolvable,0.94
1190,solved,0
1191,unsolvable,0.08
1192,unsolvable,150.66
1193,solved,0.03
1194,solved,0
1195,solved,0
1196,solved,0
1197,solved,0.01
1198,solved,0
1199,unsolvable,0
1200,solved,0
1201,solved,0.01
1202,solved,18.22
1203,solved,0.14
1204,unsolvable,5.01
1205,solved,0.26
1206,unsolvable,25.42
1207,unsolvable,0.15
1208,solved,0
1209,solved,0.01
1210,solved,0.03
1211,solved,0.35
1212,unsolvable,6.34
1213,solved,0.06
1214,unsolvable,0.18
1215,solved,0
1216,solved,0.05
1217,solved,0
1218,solved,0.04
1219,solved,0
1220,solved,1.5
1221,solved,0.11
1222,solved,0.03
1223,solved,0
1224,solved,5.2
1225,solved,0
1226,solved,0
1227,solved,0.01
1228,solved,0
1229,solved,4.56
1230,solved,0.05
1231,solved,0
1232,solved,0.05
1233,solved,0
1234,solved,0
1235,solved,0
1236,solved,0.01
1237,solved,0
1238,solved,0.05
1239,solved,0
1240,unsolvable,0.11
1241,solved,0
1242,unsolvable,7.98
1243,solved,0
1244,solved,0
1245,solved,0
1246,solved,0
1247,unsolvable,0.42
1248,unsolvable,2.97
1249,unsolvable,22.96
1250,solved,0
1251,unsolvable,47.07
1252,solved,0
1253,solved,0
1254,solved,0.06
1255,solved,0
1256,solved,0.01
1257,solved,0
1258,solved,0
1259,solved,0
1260,solved,0.61
1261,solved,0
1262,solved,0.22
1263,solved,0.47
1264,solved,0.01
1265,solved,0
1266,solved,0
1267,solved,0
1268,solved,0
1269,solved,0.05
1270,unsolvable,20.51
1271,solved,28.38
1272,solved,0
1273,unsolvable,1.14
1274,solved,0.03
1275,solved,0
1276,solved,0
1277,unsolvable,7.38
1278,solved,0.03
1279,solved,1.06
1280,solved,0
1281,unsolvable,0.87
1282,solved,0
1283,solved,0.09
1284,solved,10.38
1285,solved,0.19
1286,unsolvable,0.01
1287,solved,0.05
1288,unsolvable,1.14
1289,solved,0.48
1290,solved,0
1291,solved,0.03
1292,solved,0
1293,solved,0
1294,unsolvable,0
1295,solved,0.03
1296,solved,0
1297,solved,0.46
1298,solved,0.01
1299,solved,0
1300,solved,0.1
1301,unsolvable,0
1302,solved,0
1303,solved,0
1304,solved,1.58
1305,solved,0.01
1306,solved,0
1307,solved,0.29
1308,solved,0.02
1309,solved,0.01
1310,unsolvable,0.03
1311,solved,0.09
1312,solved,0
1313,solved,19.63
1314,solved,0.11
1315,solved,0
1316,solved,1.54
1317,solved,0
1318,solved,0.08
1319,unsolvable,0.69
1320,solved,0.1
1321,solved,0
1322,solved,0
1323,solved,0.01
1324,solved,4.1
1325,solved,0.15
1326,solved,0
1327,solved,0.66
1328,solved,0.03
1329,unsolvable,32.55
1330,unsolvable,3.83
1331,solved,0.07
1332,unsolvable,11.61
1333,solved,0.31
1334,unsolvable,0.3
