85, solved, 0, 263, 177, 186, 52, 0, 125, 193, 77, 77, , , , , , , , , , , , solved, 0.00, 0.00, 0.00, 1200
86, solved, 0, 115, 92, 28, 47, 0, 45, 53, 87, 87, , , , , , , , , , , , solved, 0.00, 0.00, 0.00, 1180
89, solved, 16, 11896, 4673, 11824, 3041, 0, 1632, 3079, 72, 72, , , , , , , , , , , , solved, 0.01, 0.01, 0.00, 1700
87, solved, 81, 33570, 11984, 33478, 3540, 0, 8444, 12289, 92, 92, , , , , , , , , , , , solved, 0.08, 0.08, 0.00, 3856
88, unsolvable, 59, 17490, 7457, 17489, 0, 0, 7457, 12289, 21, 0, unsolvable, 63, 19371, 8679, 19370, 0, 0, 8679, 12289, 21, 0, unsolvable, 0.13, 0.12, 0.00, 5304
81, unsolvable, 92, 38046, 17889, 38045, 5313, 0, 12576, 24593, 26, 0, unsolvable, 213, 88975, 35562, 88974, 8016, 0, 27546, 49157, 28, 0, unsolvable, 0.32, 0.31, 0.00, 12368
91, solved, 45, 20500, 7772, 20399, 3438, 0, 4334, 6151, 101, 101, , , , , , , , , , , , solved, 0.04, 0.04, 0.00, 2604
93, unsolvable, 3, 1247, 568, 1246, 84, 0, 484, 769, 11, 0, unsolvable, 4, 1509, 728, 1508, 108, 0, 620, 769, 11, 0, unsolvable, 0.01, 0.00, 0.00, 1428
94, solved, 0, 115, 77, 42, 35, 0, 42, 53, 73, 73, , , , , , , , , , , , solved, 0.00, 0.00, 0.00, 1180
95, solved, 0, 330, 224, 251, 80, 0, 144, 193, 79, 79, , , , , , , , , , , , solved, 0.00, 0.00, 0.00, 1208
96, solved, 0, 155, 107, 67, 55, 0, 52, 53, 88, 88, , , , , , , , , , , , solved, 0.00, 0.00, 0.00, 1176
97, solved, 19, 8439, 3310, 8355, 902, 0, 2408, 3079, 84, 84, , , , , , , , , , , , solved, 0.02, 0.01, 0.00, 1844
99, solved, 0, 372, 203, 286, 91, 0, 112, 193, 86, 86, , , , , , , , , , , , solved, 0.00, 0.00, 0.00, 1200
100, solved, 7, 3259, 1629, 3180, 496, 0, 1133, 1543, 79, 79, , , , , , , , , , , , solved, 0.01, 0.00, 0.00, 1472
102, unsolvable, 13, 5586, 2212, 5585, 355, 0, 1857, 3079, 23, 0, unsolvable, 16, 6562, 2453, 6561, 295, 0, 2158, 3079, 23, 0, unsolvable, 0.03, 0.03, 0.00, 2152
103, solved, 51, 21754, 8225, 21679, 2159, 0, 6066, 6151, 75, 75, , , , , , , , , , , , solved, 0.05, 0.05, 0.00, 3132
105, unsolvable, 0, 118, 72, 117, 21, 0, 51, 53, 11, 0, unsolvable, 0, 134, 74, 133, 11, 0, 63, 97, 11, 0, unsolvable, 0.00, 0.00, 0.00, 1188
104, solved, 47, 25992, 6963, 25913, 2069, 0, 4894, 6151, 79, 79, , , , , , , , , , , , solved, 0.05, 0.05, 0.00, 2632
79, unsolvable, 34, 15206, 6385, 15205, 2453, 0, 3932, 6151, 29, 0, unsolvable, 913, 408273, 102540, 408272, 4364, 0, 98176, 98317, 46, 0, unsolvable, 1.01, 0.99, 0.01, 33908
